date,open,high,low,close,volume
2024-02-13,397.22,402.25,395.70,398.58,27824900
2024-02-14,401.03,402.77,397.59,402.43,20401200
2024-02-15,401.10,402.07,397.32,399.55,21825500
2024-02-16,400.92,401.25,396.48,397.09,22296500
2024-02-20,396.29,397.51,391.15,395.84,24307900
2024-02-21,393.27,395.35,390.37,395.24,18518900
2024-02-22,403.12,405.71,401.52,404.55,27009900
2024-02-23,408.50,408.69,401.92,403.26,16295900
2024-02-26,404.36,405.05,400.33,400.51,16193500
2024-02-27,400.95,401.28,396.89,400.45,14835800
2024-02-28,401.14,402.24,398.33,400.69,13183100
2024-02-29,401.59,407.06,398.92,406.51,31947300
2024-03-01,404.18,408.70,403.79,408.33,17823400
2024-03-04,406.31,410.15,405.21,407.76,17596000
2024-03-05,406.82,407.11,393.73,395.71,26919200
2024-03-06,396.02,398.17,391.52,395.16,22344100
2024-03-07,399.12,402.71,395.30,402.08,18718500
2024-03-08,400.92,403.34,397.36,399.21,18002200
2024-03-11,396.80,398.68,394.34,397.54,16120800
2024-03-12,400.59,408.40,399.77,408.12,22457000
2024-03-13,410.89,410.97,404.35,407.94,17115900
2024-03-14,412.99,420.44,410.78,417.89,34157300
2024-03-15,412.06,415.31,405.67,409.24,45079900
2024-03-18,407.11,413.47,406.64,410.12,20106000
2024-03-19,410.62,414.40,408.38,414.14,19837900
2024-03-20,414.72,418.61,413.41,417.90,17860100
2024-03-21,422.42,423.39,419.79,421.97,21296200
2024-03-22,422.29,422.45,418.72,421.35,17648500
2024-03-25,417.91,420.04,414.34,415.57,18060500
2024-03-26,418.27,418.64,414.08,414.38,16725600
2024-03-27,417.12,417.13,411.78,414.16,16705000
2024-03-28,413.70,414.59,411.89,413.46,21871200
2024-04-01,416.64,420.51,414.94,417.25,16316000
2024-04-02,412.87,415.10,410.63,414.17,17912000
2024-04-03,412.49,415.96,411.86,413.20,16502300
2024-04-04,417.66,421.28,410.37,410.67,19370900
2024-04-05,412.77,419.15,411.11,418.18,16554800
2024-04-08,417.84,419.91,416.00,417.27,14272400
2024-04-09,419.09,420.36,414.35,418.93,12496900
2024-04-10,414.91,416.72,412.46,415.96,16216600
2024-04-11,418.48,421.97,415.08,420.55,17966400
2024-04-12,416.74,417.85,412.53,414.62,19253800
2024-04-15,419.24,419.46,406.30,406.51,20273500
2024-04-16,407.42,411.18,406.60,407.43,16765600
2024-04-17,410.05,411.66,403.25,404.74,15855500
2024-04-18,403.55,404.79,396.98,397.30,21029900
2024-04-19,397.06,398.49,390.91,392.24,30565800
2024-04-22,393.18,395.90,388.93,394.05,20286900
2024-04-23,397.27,401.16,396.11,400.54,15734500
2024-04-24,402.50,405.36,399.76,402.01,15065300
2024-04-25,387.23,392.99,381.34,392.16,40586500
2024-04-26,405.06,405.88,398.76,399.31,29694700
2024-04-29,398.26,399.31,392.31,395.31,19582100
2024-04-30,394.57,395.22,382.46,382.62,28781400
2024-05-01,385.84,394.79,383.58,388.13,23562500
2024-05-02,390.80,393.03,387.84,390.98,17709400
2024-05-03,395.34,400.13,394.93,399.65,17446700
2024-05-06,401.71,406.79,399.36,406.41,16996600
2024-05-07,407.51,407.52,402.04,402.28,20018200
2024-05-08,401.13,405.12,399.70,403.46,11792300
2024-05-09,403.49,405.60,402.05,405.21,14689700
2024-05-10,405.82,408.22,404.70,407.59,13402300
2024-05-13,410.80,411.14,403.74,406.59,15440200
2024-05-14,404.91,410.29,404.45,409.38,15109300
2024-05-15,411.43,417.25,410.81,416.53,22239500
2024-05-16,415.27,418.84,413.85,414.48,17530100
2024-05-17,416.00,416.38,411.56,413.71,15352200
2024-05-20,413.71,420.17,413.49,418.76,16272100
2024-05-21,420.23,426.27,418.28,422.40,21453300
2024-05-22,423.44,425.72,420.52,423.86,18073700
2024-05-23,426.27,426.89,418.84,420.39,17211700
2024-05-24,420.58,424.39,417.84,423.50,11855300
2024-05-28,422.98,424.15,420.00,423.66,15718000
2024-05-29,419.10,424.27,419.10,422.53,15517100
2024-05-30,417.73,417.73,407.83,408.25,28394500
2024-05-31,410.30,410.30,398.25,408.71,47995300
2024-06-03,409.10,409.99,402.59,407.12,17484700
2024-06-04,406.05,410.00,403.34,409.63,14348900
2024-06-05,411.35,417.52,409.86,417.45,16988000
2024-06-06,417.45,418.73,414.07,417.95,14861300
2024-06-07,419.61,419.68,416.46,417.29,13621700
2024-06-10,418.13,421.46,417.33,421.25,13982900
2024-06-11,418.90,426.12,418.67,425.99,14551100
2024-06-12,428.58,436.54,426.55,434.24,22366200
2024-06-13,434.03,436.53,432.57,434.75,15960600
2024-06-14,431.50,436.28,429.96,435.72,13582000
2024-06-17,435.74,443.96,433.90,441.43,20790000
2024-06-18,442.75,443.18,438.01,439.43,17112500
2024-06-20,439.39,439.62,434.44,438.80,19877400
2024-06-21,440.46,443.61,439.60,442.82,34187100
2024-06-24,442.84,445.74,439.50,440.74,15913700
2024-06-25,441.31,444.44,439.84,443.97,16413400
2024-06-26,442.05,446.58,441.26,445.16,16507000
2024-06-27,445.18,449.11,444.78,445.84,14806300
2024-06-28,446.06,448.33,439.50,440.03,28362300
2024-07-01,441.72,450.29,438.76,449.66,17662800
2024-07-02,446.19,452.48,446.10,452.17,13979800
2024-07-03,451.10,453.89,450.80,453.64,9932800
2024-07-05,452.50,461.10,451.87,460.33,16000300
2024-07-08,459.33,460.46,457.27,459.03,12962300
2024-07-09,459.77,460.10,450.91,452.43,17207200
2024-07-10,454.08,459.24,451.76,459.04,18196100
2024-07-11,455.82,457.59,444.56,447.66,23111200
2024-07-12,447.30,449.30,443.68,446.53,16324300
2024-07-15,446.29,450.18,444.45,446.94,14429400
2024-07-16,447.19,447.27,439.75,442.56,17175700
2024-07-17,435.74,437.97,432.38,436.66,21778000
2024-07-18,437.46,437.77,427.68,433.56,20794800
2024-07-19,426.40,434.31,425.32,430.35,20940400
2024-07-22,434.95,437.72,432.12,436.09,15808800
2024-07-23,437.03,441.45,436.24,437.97,13107100
2024-07-24,433.64,434.65,420.97,422.26,26805800
2024-07-25,422.17,423.15,411.05,411.93,29943800
2024-07-26,411.73,422.28,410.81,418.69,23583800
2024-07-29,424.90,425.46,418.13,420.13,15125800
2024-07-30,421.10,422.41,410.90,416.38,32687600
2024-07-31,413.99,415.25,405.83,411.88,42891400
2024-08-01,414.28,420.85,406.70,410.66,30296400
2024-08-02,406.11,408.58,398.08,402.17,29437900
2024-08-05,383.15,394.83,379.61,389.04,40709200
2024-08-06,393.81,399.39,392.33,393.43,24946500
2024-08-07,402.32,403.73,391.32,392.27,20650900
2024-08-08,396.21,399.58,393.75,396.46,20203000
2024-08-09,397.78,401.74,396.04,399.74,19276700
2024-08-12,400.76,402.44,397.99,400.52,16762900
2024-08-13,403.25,408.53,403.23,407.60,19414300
2024-08-14,408.38,411.26,406.07,410.41,18267000
2024-08-15,414.05,415.34,411.94,415.26,20752100
2024-08-16,414.84,415.57,411.58,412.74,22775600
2024-08-19,413.22,415.97,410.76,415.76,15234000
2024-08-20,415.92,420.03,415.86,418.98,16387600
2024-08-21,418.27,420.56,415.94,418.33,16067300
2024-08-22,418.55,420.94,408.93,409.86,19361900
2024-08-23,411.27,413.52,406.45,411.08,18493800
2024-08-26,410.67,411.56,405.71,407.83,13152800
2024-08-27,407.20,408.68,404.63,408.17,13492900
2024-08-28,409.20,409.32,401.73,404.98,14882700
2024-08-29,409.26,416.27,404.98,407.46,17045200
2024-08-30,409.91,411.77,406.48,411.43,24308300
2024-09-03,412.19,414.13,401.45,403.83,20313600
2024-09-04,400.35,405.61,398.83,403.30,15135800
2024-09-05,402.04,407.44,400.57,402.80,14195500
2024-09-06,403.46,405.02,395.31,396.20,19609500
2024-09-09,401.66,403.05,396.64,400.16,15295100
2024-09-10,402.61,410.63,402.12,408.53,19594300
2024-09-11,409.81,418.18,403.97,417.25,19266900
2024-09-12,417.51,421.52,414.00,421.15,17395700
2024-09-13,420.00,425.91,419.63,424.69,15874600
2024-09-16,424.70,427.59,422.35,425.43,13834700
2024-09-17,434.20,435.80,426.35,429.19,18874200
2024-09-18,429.04,430.06,424.51,424.91,18898000
2024-09-19,435.19,435.45,430.92,432.68,21706600
2024-09-20,431.23,433.22,428.27,429.31,55167100
2024-09-23,428.33,430.48,424.49,427.57,15128900
2024-09-24,427.07,427.41,420.26,423.29,17015800
2024-09-25,423.94,427.19,422.70,426.19,13396400
2024-09-26,429.13,429.34,423.25,425.40,14492000
2024-09-27,425.61,425.93,421.61,422.16,14896100
2024-09-30,422.34,424.52,419.54,424.41,16807300
2024-10-01,422.58,422.61,413.07,414.93,19092900
2024-10-02,416.79,417.03,411.00,411.42,16582300
2024-10-03,411.91,413.80,408.62,410.83,13686400
2024-10-04,412.51,414.00,409.29,410.36,19169700
2024-10-07,410.30,411.40,403.40,403.93,20919800
2024-10-08,405.27,409.97,402.58,409.03,19229300
2024-10-09,410.16,414.62,408.62,411.74,14974300
2024-10-10,409.54,411.63,407.49,410.14,13848400
2024-10-11,410.44,411.42,407.59,410.62,14144900
2024-10-14,412.05,418.23,411.80,413.40,16653100
2024-10-15,416.40,416.69,409.57,413.00,18900200
2024-10-16,409.48,410.66,404.86,410.42,15508900
2024-10-17,416.57,416.71,409.90,411.01,14820000
2024-10-18,411.43,413.90,410.56,412.43,17145300
