date,open,high,low,close,volume
2025-04-28,208.90,210.39,206.37,209.04,38743100
2025-04-29,207.59,211.12,207.27,210.10,36827600
2025-04-30,208.20,212.46,205.58,211.38,52286500
2025-05-01,207.98,213.43,207.80,212.20,57365700
2025-05-02,205.01,205.90,201.10,204.27,101010600
2025-05-05,202.03,203.03,197.17,197.84,69018500
2025-05-06,197.17,199.60,195.98,197.47,51216500
2025-05-07,198.12,198.39,192.23,195.22,68536700
2025-05-08,196.68,199.00,193.66,196.45,50478900
2025-05-09,197.95,199.49,196.50,197.49,36453900
2025-05-12,210.14,210.44,205.93,209.96,63775800
2025-05-13,209.60,212.56,208.17,212.09,51909300
2025-05-14,211.59,213.09,209.75,211.49,49325800
2025-05-15,210.12,212.12,208.71,210.61,45029500
2025-05-16,211.52,211.73,208.94,210.43,54737900
2025-05-19,207.09,208.65,203.45,207.96,46140500
2025-05-20,206.85,207.65,204.22,206.04,42496600
2025-05-21,204.36,206.22,199.92,201.29,59211800
2025-05-22,199.92,201.95,198.91,200.56,46742400
2025-05-23,192.90,196.92,192.70,194.50,78432900
2025-05-27,197.52,199.95,196.65,199.42,56288500
2025-05-28,199.80,201.93,199.11,199.63,45339700
2025-05-29,202.78,203.00,197.73,199.16,51396800
2025-05-30,198.58,201.16,196.00,200.06,70819900
2025-06-02,199.49,201.33,199.33,200.90,35423300
2025-06-03,200.55,202.96,200.17,202.47,46381600
2025-06-04,202.11,205.43,201.30,202.02,43604000
2025-06-05,202.70,203.94,199.36,199.84,55126100
2025-06-06,202.20,204.89,201.25,203.11,46607700
2025-06-09,203.58,205.19,199.23,200.65,72862600
2025-06-10,199.81,203.54,199.78,201.87,54672600
2025-06-11,202.70,203.69,197.63,197.99,60989900
2025-06-12,198.29,198.89,196.58,198.41,43904600
2025-06-13,198.94,199.58,194.93,195.67,51447300
2025-06-16,196.52,197.90,195.78,197.64,43020700
2025-06-17,196.42,197.61,194.44,194.87,38856200
2025-06-18,195.17,196.79,194.30,195.80,45394700
2025-06-20,197.46,200.90,196.08,200.21,96813500
2025-06-23,200.83,201.50,198.17,200.70,55814300
2025-06-24,201.79,202.64,199.41,199.51,54064000
2025-06-25,200.65,202.87,199.83,200.76,39525700
2025-06-26,200.63,201.84,198.67,200.21,50799100
2025-06-27,201.09,202.42,199.21,200.29,73188600
2025-06-30,201.21,206.57,198.47,204.36,91912800
2025-07-01,205.85,209.36,205.33,207.00,78788900
2025-07-02,208.08,212.50,207.32,211.60,67941800
